tweets.ve,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
"Nonprofits  do you know your support is at a donors fingertips with iConnectXs texttogive platform Learn more today

        ",0,0,0,0,0,0,0,0,0,1
"iConnectX provides nonprofits with innovative tools to reach the maximum number of supporters Learn how today

         ",0,0,0,0,0,0,0,0,0,2
"iConnectX offers nonprofit solutions to fundraising goals with readytouse online donation pages Find out more now

          ",0,0,0,0,0,0,0,0,0,1
"Reach the maximum number of nonprofit supporters with iConnectX Learn how we help organizations exceed fundraising goals today

        ",0,1,0,0,1,0,0,0,0,3
"iConnectX is a simple fast and secure way for nonprofits to reach goals quickly Enable giving on iConnectX  learn more today

         ",0,0,0,0,0,0,0,1,0,3
"iConnectX is the  tool for charity donations Learn how to simplify fundraising  reach out today

        ",0,1,0,0,2,0,1,1,0,3
"Deliver an authentic conference experience filled with engaging activities to attendees around the world using Microsoft Teams Visit  to learn more

    ",0,0,0,0,2,0,0,2,0,4
"See how Monmouth University used Virtual Conference Manager to share important information relevant to the counseling field with students and alumni  

       ",0,2,0,0,1,0,0,3,0,5
Learn how to leverage your existing investment in  to deliver  for your organization   ,0,1,0,0,1,0,1,1,0,3
"Learn how the UK Government used Virtual Conference Manager to host the third annual Atlantic Future Forum AFF onboard the Royal Navy aircraft carrier 

      ",0,0,0,1,0,0,0,0,1,1
"Deliver an authentic conference experience filled with engaging activities to attendees around the world using Microsoft Teams Visit  to learn more

    ",0,0,0,0,2,0,0,2,0,4
The Environmental Benefits Of  ,0,0,0,0,0,0,0,0,0,0
"Learn how the HypoPARAthyroidism Association used Virtual Conference Manager to bring together medical and patient communities from around the world 

       ",0,2,0,1,0,0,0,2,0,3
Get started on how your team can create a live Product Deminar for your product thats presented in the style of a webinar   ,0,0,0,0,1,0,0,1,0,1
"Discover how innoViaPro increased its client base from  in  to  in  after pivoting from inperson events to  using BlueJeans Events 
   ",0,0,0,0,0,0,0,1,0,0
  Looking for some insights on how to create the ultimate virtual breakout room Check out this guide   ,0,1,0,0,1,1,0,1,0,2
BlueJeans Events now has the capabilities to help your events be more accessible to wider audiences with multilanguage support   ,0,0,0,0,0,0,0,0,0,1
"Worldclass  are much more than a video stream Thats why BlueJeans Events includes tools to engage attendees and deliver broadcastquality  at scale

And now its all available at an unprecedented value 
Learn more 
",0,0,0,0,0,0,1,0,0,1
"Share your love of  and get a $ Amazon gift card Simply post a review on G share your thoughts and enjoy your free gift card 

  ",0,3,0,0,4,0,1,2,0,4
"   Announcing Simultaneous Interpretation for BlueJeans Events Now you can enhance your ability to host secure and interactive  in several languages 

Learn more here  ",0,0,0,0,0,0,0,0,0,3
"  Did you know you can offer simultaneous interpretation for your  with no additional equipment beyond a computer 

Learn how   
",0,0,0,0,0,0,0,0,0,2
"ICYMI   Fundraising Ideas For Charity That Nurture Collaborative Partnerships With Small Businesses

 

  ",1,1,1,1,2,0,0,1,1,2
"Merry Christmas Eve We hope you spend today relaxing and enjoying family and friends we will be

            ",0,2,0,0,3,0,1,2,0,3
"Were excited to be working with Termini Brothers Bakery tonight
Did you know that the Christmas Eve line at the bakery is a generationsold tradition

         ",0,1,0,0,1,0,1,1,0,2
"Today is the  which marks the first day of Winter Its also the shortest day of the year
            ",0,0,0,0,0,0,0,0,0,0
"Merry Christmas We hope you have a happy healthy holiday Enjoy today

             ",0,4,0,0,5,0,1,3,0,6
"Another  Its not too late to donate for  and we know just the place Visit Delco Dawgs on Facebook or at 

         ",0,0,0,0,0,1,0,0,1,1
"Stream into the festivities with love joy and hope
Merry Christmas to all our patrons

   ",0,1,0,0,4,0,1,1,0,4
"Quote of the day

Learn more 

             ",0,1,0,0,0,0,1,0,1,2
"The newest addition to the ON Platform is designed to maximize attendance with flexible signup forms confirmation emails and reminders Learn more about  

  ",0,1,0,0,0,0,0,1,0,1
Missed the  and  that rocked  Well now you can watch the event ondemand Just tune in here  ,0,1,0,1,0,0,0,0,0,0
"To our customers partners and colleagues  Happy Holidays and Best Wishes for the new year  

     ",0,1,0,0,1,0,0,1,0,1
Sending out a huge thanks to all our Twitter followers for making us number  on the  list of most followed  platforms ,0,0,0,0,0,0,0,0,0,0
What will your  and  look like in  Join Cheri Hulse from ON for this live QA about what to expect  ,0,1,0,0,0,0,1,1,0,2
"pcmahqs Convening Leaders offers an inside perspective on hybrid event engagement Join Megan Culligan as she explains how their hybrid experience was built from the ground up  

  



 ",0,0,0,0,0,0,0,1,0,1
"We would like to extend our warmest greetings to you and your family this holiday season You have our sincerest wishes for a HealthyHappyand Prosperous New Year 
       ",0,1,0,0,2,0,0,0,0,3
"More than  of marketers are moving to  in the future even as physical events returned Should you choose a virtual or a hybrid event approach Check out these  reasons    tools to start planning your  

 ",0,2,0,0,0,0,0,1,0,1
"Wishing all of our nonprofit customers a happy holiday season with fundraising cheer Snowball is proud to be a part of the good tidings you bring to your communities



     ",0,5,0,0,5,0,2,4,0,5
Its amazing what can be created with    nowherewrld  ,0,0,0,0,0,0,0,0,0,0
"I really enjoyed the program today it was highly informative a most delightful  insightful program on Chinatown  Event Attendee 

Contact us if you would like the authors to speak at your organization  

    ",0,2,0,0,2,0,1,2,0,3
"We Are Glad To Announce  For Winning Best Actor In A Negative Role Award For  Streamed On  At The Indian Telly Streaming Awards 

    ",0,3,1,0,3,2,2,2,1,3
"Ease of audience targeting  engagement is just  reason why marketers love   but here are  more reasons why theyre still popular even though inperson events started again  

     ",0,1,0,0,1,0,0,0,0,3
"Check out the calls for submissions writing contests and virtual events featured on NewPages the week of December  

      ",0,1,0,0,0,0,0,1,1,0
Virtual events have been used as an alternative to inperson events but some have found that getting up excitement surrounding these events has been difficult Heres how ,0,1,0,1,2,0,1,1,0,2
"Do you know that you can make your business stand out from the crowd by hosting credible virtual events Contact us today and we will guide you on the best hosting practices to follow
 
 ",0,0,0,0,0,0,0,2,0,3
From our virtual home to yours all of us at Touchcast wish you and your loved ones a healthy safe and joyous Holiday Season     $KNOW ,0,1,0,0,3,0,0,1,0,4
" virtual events platform VIIEvents have announced the addition of a unique marketplace portal which aims to encourage collaboration

Details on the eventplannernws blog  

   ",0,0,0,0,1,0,1,1,0,2
From the eventbrite blog  To live stream or not to live stream that is the question of      ,0,0,0,0,0,0,0,0,0,1
"Weve got the latest blog posts from leading virtual event platforms

See them all here  

   ",0,0,0,0,0,0,0,1,0,0
By Kaylyn McKenna for the social blog  Virtual Event Accessibility Checklist    ,0,0,0,0,0,0,0,1,0,1
By Nikita Ovcinnikovs for the iVenthq blog  How to Use Event Analytics to Measure the Success of Virtual Events     ,0,1,0,0,1,0,0,1,0,1
"Weve got the latest blog posts from leading virtual event platforms

See them all here  

   ",0,0,0,0,0,0,0,1,0,0
" virtual events platform VIIEvents have announced the addition of a unique marketplace portal to encourage collaboration

Details on our blog  

   ",0,0,0,0,1,0,1,1,0,2
  By Brian Zambotti for the DigitellInc blog  Building the Perfect Virtual Event Agenda  Tips  Tricks    ,0,1,0,0,1,0,0,1,0,2
"B event marketers are already starting to see the value of executing online events In fact more than half are willing to spend part of their budget for onsite events to online events as well 

Join Agorify    

   ",0,0,0,0,0,0,0,2,0,1
"Tis the season to be jolly Spread the holiday cheer wherever you go   

Love 
Agorify  

           ",0,2,0,0,3,0,1,1,0,3
"Our client Quadtrends recently executed APAC Data Summit in a virtual event format They are considering to execute the next edition of their event in a True Hybrid Event format 

Join us now   

    ",0,1,0,0,0,0,0,0,0,1
"GlobalNTT was a true extension of our team They helped us execute exactly what we wanted and enabled us to serve our community 

Read the full   of our work with MyastheniaOrg  ",0,0,0,0,0,0,0,2,1,2
 Keen to deliver the bestpossible virtual event This comprehensive guide with our valuable advice and tips from our clients will help you do just that       ,0,0,0,0,0,0,0,2,0,3
"Congratulation To  For Winning Award For Best Writer Romance For  Streamed On Netflix At The Indian Telly Streaming Awards 

         ",0,3,1,1,3,2,3,3,0,4
"We Are Glad To Announce  For Winning The Best Supporting Actor Award For  Streamed On Zee At The Indian Telly Streaming Awards 

         ",0,3,1,0,3,1,2,3,0,4
"We Are Glad To Announce  For Winning The Award For Best OTT Series Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",0,3,1,0,3,1,2,3,0,3
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On DisneyPlusHotsar At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,2,0,3
"We Are Glad To Announce  For Winning The Best Digital Romance Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",0,4,1,1,4,2,3,4,0,4
"Congratulation To  For Winning Best Supporting Actress Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,1,2,3,0,3
"We Are Glad To Announce  For Winning The Best Digital Comedy Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,3
"We Are Glad To Announce  For Winning Best Supporting Actor Award For  Streamed On SonyLIV At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,4
"We Are Glad To Announce  For Winning The Award For Best Dialogue Writer Of Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

       ",0,3,1,0,3,1,2,3,0,4
"Congratulations To  For Winning Best Supporting Actor Award For  Streamed On MXPlayer At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,1,2,3,0,3
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On Netflix At The Indian Telly Streaming Awards 

          ",0,2,1,0,2,1,2,4,0,3
"Congratulation To  For Winning The Best Actress Negative Award For  Streamed On MXPlayer At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,2,2,2,1,2
"Congratulation To  For Winning The Best Actor Negative Award For  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,2,2,2,1,2
"Congratulation To  For Winning The Best Actress Award For  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

         ",0,2,1,0,2,1,2,2,0,2
"Congratulation To    For Winning Best Writer Award For Thriller Series  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,3,0,3
"Congratulations To  For Winning Best Reality Show Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,1,2,3,0,2
"We Are Glad To Announce    For Winning The Best Writer Comedy Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

         ",0,3,1,0,3,1,2,2,0,4
"We Are Glad To Announce  For Winning Award For The Best Writer Drama Series For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,4
"We Are Glad To Announce  For Winning Best Actor In A Negative Role Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

       ",0,3,1,0,3,2,2,2,1,3
"Congratulation To  For Winning Award For Best  Series Asia Streamed On SonyLIV At The Indian Telly Streaming Awards 
 
         ",0,2,1,0,2,1,2,3,0,2
"We Are Glad To Announce  For Winning The Award Of Best OTT Film Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

         ",0,3,1,0,3,1,2,2,0,3
"Congratulation To    For Winning Best ScreenPlay Writer Award For  Streamed On Zee At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,2,0,3
"We Are Glad To Announce  For Winning The Award Of Best Studio Asia At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,2,0,3
"We Are Glad To Announce  For Winning Best Comic Male Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,2,0,3
"Congratulation To    For Winning Best Dialogue Writer Award For  Streamed On Zee At The Indian Telly Streaming Awards 
 
       ",0,2,1,0,2,1,2,2,0,3
"Join us Live Today at  pm to Know the Winners 

Register Now 

For more info 

     ",0,0,0,0,0,0,0,0,0,1
"We Are Glad To Announce    For Winning The Best Digital FactualEducation Series Award Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 
 
     ",0,3,1,0,3,1,2,3,0,3
"We Are Glad To Announce  For Winning The Award For Best Movie Asia Streamed On Netflix At The Indian Telly Streaming Awards 
 
        ",0,3,1,0,3,1,2,2,0,3
"Congratulation To  For Winning Best Actress In Negative Role Award For  Streamed On HungamaPlay At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,2,2,2,1,2
"Congratulation To HungamaPlay For Winning The Award Of Best Branded Video At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,1,2,2,0,2
"We Are Glad To Announce  TV Series For Winning The Award For Best Documentary Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,3
"We Are Glad To Announce  IntoTheWildWithBearGrylls   For Winning The Best Digital NonFiction Series Award Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 
 
        ",0,3,1,0,3,1,2,3,0,3
"We Are Glad To Announce  For Winning The Best Supporting Actress Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,4
"We Are Glad To Announce  For Winning The Best Digital Drama Series Award Streamed On SonyLIV At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,3
"Congratulation To  For Winning Best Comic Female Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",0,2,1,0,2,1,2,2,0,3
"Congratulation To  For Winning Best Actor Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

         ",0,2,1,0,2,1,2,2,0,2
"Congratulation To  For Winning The Best Actor Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",0,2,1,0,2,1,2,2,0,2
"Congratulation To  For Winning Best Director Award For Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

         ",0,2,1,0,2,1,2,4,0,3
"We Are Glad To Announce  For Winning The Best Digital Thriller Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",0,3,1,0,3,1,2,3,0,3
"A Big Thank You to Our Grand Jury of The Indian Telly Streaming Awards 

For More Info 

        ",0,0,0,0,0,0,0,1,0,0
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On Zee At The Indian Telly Streaming Awards 

         ",0,2,1,0,2,1,2,4,0,3
"Congratulation To    For Winning Award Of Best Editor For  Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 

      ",0,2,1,0,2,1,2,2,0,2
"We Are Glad To Announce  For Winning Award For Having The Best Title Track Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",0,4,1,0,3,1,2,3,0,4
"Congratulation To    For Winning Award For Best Background Music For  Streamed On SonyLIV At The Indian Telly Streaming Awards 

       ",0,2,1,0,3,2,2,2,0,3
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On Zee At The Indian Telly Streaming Awards 
 
        ",0,3,1,0,3,1,2,2,0,3
" Hour To Go for the Indian Telly Streaming Awards

Check out the Winners  Onwards

Click to join  

        ",0,0,0,0,0,0,0,0,0,1
"Weekend Poll

Have you employed integration technology in your virtual events

Take the poll

      ",0,0,0,0,0,0,0,1,0,1
"Any sufficiently advanced technology is indistinguishable from magic

Events Pipelines custom integrations can help you manage your whole virtual event simply with a tap on your mouse just like magic

    ",0,0,0,0,0,0,0,1,0,3
"Wish you all the Happiest Holidays

              
 ",0,0,0,0,0,0,0,0,0,0
"Join exhiVits  EXHIBIT | NETWORK | COLLABORATE
Experience our unique DASHBOARD 

          ",0,1,0,0,0,0,1,0,0,2
"Announcing MEDIA PARTNERSHIP with Compasses ArchitectureDesign
            

 ",0,0,0,0,0,0,0,1,0,1
"The  Logics Why Organizers Are Loving Virtual Events  Videos

  

 ",0,0,0,0,1,0,0,1,0,1
"Merry Christmas from Indiattitude Family

            


 ",0,0,0,0,1,0,0,0,0,1
"Lets have an exciting year end Join BlockHash LIVE  on December  To Register visit 
    kbaiiitmk ",0,1,0,0,1,0,1,0,0,3
"Lets have an exciting year end Join BlockHash LIVE  on December  To Register visit 
    kbaiiitmk ",0,1,0,0,1,0,1,0,0,3
"Visit our Events page to see upcoming virtual hedge schools risk academies  trade shows We cant wait to meet you  
",0,2,0,1,0,0,0,1,2,1
Choose an avatar to login Which one       ,0,0,0,0,0,0,0,0,0,1
"We promise to be the Lloyd Dobler to your Diane Court and make all your  come to life Fireworks by Eventcombo 

 

     ",1,1,0,1,1,0,0,1,0,1
"Keep engaging with your attendees and speakers even after the event is over with Community by Eventcombo Get on the waitlist now 

 

      ",0,0,0,0,1,0,0,1,0,2
"Looking for  or  to join in the  

Check out this blog post from selbyevans blog Virtual Outworlding



    ",0,0,0,0,0,0,0,0,0,1
Welcome to Webinar Wednesday hosted by Vilhelmiina Mhnen from TwentyThree with guest Mark Barton talking about why you need to warm up before hosting a webinar and how to connect with your audience   ,0,1,0,0,0,0,0,0,0,0
"AddingVideos is wishing you a Merry Christmas and a Happy New Year Come and visit our  virtual  to get into a festive mood 
       ",0,1,0,0,3,0,0,1,0,4
Did you know Throughout  CNM offered   events serving over  attendees After the holiday break CNM and our facilitators are back for more  throughout  Join now and learn from  experts  ,0,1,0,0,1,0,1,0,0,3
"Did you Know You can host your event with enterpriselevel security that is automatically in place and updated constantly Schedule your demo and speak with one of our experts about our secure technology today



  ",0,0,0,0,0,0,0,1,0,1
"Lets Get Serious About Hybrid Events  Our latest newsletter breaks down what it actually means cost considerations and best practices 



   ",0,0,0,0,0,0,0,0,0,0
"Happy Holidays Gentle etiquette reminder to be applied on all video conference calls in the New Year

     ",0,2,0,0,1,0,0,2,1,1
"As the holiday season is upon us we wish you and yours happiness and peace from the MULTILEARNING team 
     ",0,3,0,0,3,0,0,2,0,3
After your  do you nurture and score leads Learn more about how to make the most of your virtual event metrics  ,1,2,1,1,2,0,1,1,0,3
In this blog learn how to make your  more interactive Read more  ,0,0,0,0,0,0,0,0,0,1
Everybody knows holidays are  better with adorable pets Attendees and us love seeing all your furry friends in the gallery especially when you capture funny moments         ,0,0,0,0,2,0,0,0,1,2
"In keeping with the holidays heres a fun photo of one of our amazing vehicle upfit clients 

Lets work together to create an experience thats memorable and drives action 

    ",0,1,0,0,3,0,1,1,0,4
"Countdown to Christmas Were not sure who thinks this is more odd our SME or Santa You never know what will happen at a  which is part of the fun and charm    
    ",0,3,0,0,1,0,0,0,0,2
"The live events industry continues to be in flux Keeping a virtual component or creating an entire  is a smart strategy Here are six tips to promote your virtual event for maximum effectiveness and reach   
",0,0,0,0,0,0,0,0,0,1
"Another inperson only event = another missed opportunity to increase your return on investment ROI 

Click the link below to get a demo and discover how hybrid events can benefit your organization and increase your ROI 

  ",0,2,0,0,1,0,1,1,0,4
"When you give you also receive Increase your brand awareness  put a smile on attendees faces with virtual event gifts 

Discover a variety of sustainable unique or cozy gifts to give attendees at your next event 

 ",0,0,0,0,1,0,2,1,0,3
"Virtual events and virtual networking are the new normal in a pandemic world But what does that really mean Are you ready to network in a virtual world

  ",0,2,0,1,0,1,0,0,1,0
"Looking for some postholiday fun or ways to celebrate the new year with your team Here at HostEventsInc  we have the fun virtual happy hours your team needs

  ",0,2,0,0,2,0,0,2,0,2
"Learn how you can use KPIs to measure virtual and hybrid event satisfaction

   ",0,0,0,0,0,0,0,1,0,1
"If youre an  and thinking about going virtual for the first time the sheer number of options a virtual event presents may feel overwhelming

Download our ebook for suggestions and tips on planning a virtual event 
 ",0,2,0,0,0,0,0,1,0,2
Our team is growing  We are actively reviewing applications for roles in marketing sales engineering and support  we hope to hear from you     ,0,1,0,0,1,0,1,2,0,1
"Although inperson events remain an uncertainty for now that shouldnt stop your  event planning   Here are  ways you can leverage your social platforms to promote your next online event 

",0,1,0,0,0,0,0,1,0,2
Curious about what  Live Events can do for your broadcaststyle programming Heres the latest info about   UPDATED for   Quick Facts About Teams Live Events ,0,0,0,0,0,0,0,1,0,1
"YouTubers turned to virtual events at the height of the pandemic and it appears they are here to stay dudejohan   

   ",0,0,0,1,0,1,0,0,1,0
"Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",0,1,0,1,0,0,0,0,1,2
"Digital Leaders DigiLeaders
Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",0,1,0,1,0,0,0,0,1,2
"Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",0,1,0,1,0,0,0,0,1,2
"Inpixons CXApp Event Platform Selected by the Association of Briefing Program Managers as Exclusive Event Management Solution

$INPX         ",0,0,0,0,0,0,0,2,0,2
"The dates are out  
Redbricks presents its first virtual event 
|| SELfest   ||
When  to  January 
Where Online
Stay tuned to know more 
         ",0,0,0,0,0,0,0,0,0,0
"Congratulation To  For Winning Best Director Award For Digital Series  Streamed On  At The Indian Telly Streaming Awards 
 
        ",0,2,1,0,2,1,2,4,0,3
"We Are Glad To Announce  For Winning The Award For Best Dialogue Writer Of Digital Series  Streamed On  At The Indian Telly Streaming Awards 

       ",0,3,1,0,3,1,2,3,0,4
"Congratulation To  For Winning Best Reality Show Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,3,0,2
"Congratulation To    For Winning Award For Best Screenplay Writer For Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

      ",0,2,1,0,2,1,2,3,0,3
"Congratulation To com For Winning The Award Of Best Branded Video At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,2,0,2
"We Are Glad To Announce  For Winning The Best Digital Romance Series Award Streamed On  At The Indian Telly Streaming Awards 

       ",0,4,1,1,4,2,3,4,0,4
"We Are Glad To Announce  For Winning The Best Digital Comedy Series Award Streamed On  At The Indian Telly Streaming Awards 

       ",0,3,1,0,3,1,2,3,0,3
"Congratulation To  For Winning Award For Best  Series Asia Streamed On  At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,3,0,2
"Congratulation To  For Winning The Best Actor Negative Award For  Streamed On  At The Indian Telly Streaming Awards 
        ",0,2,1,0,2,2,2,2,1,2
"Congratulation To  For Winning Best Supporting Actor Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,3,0,3
"Congratulation To  For Winning Award For Best Writer Romance For  Streamed On  At The Indian Telly Streaming Awards 

       ",0,3,1,1,3,2,3,3,0,4
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",0,3,1,0,3,1,2,2,0,3
"Congratulation To  For Winning Best Supporting Actress Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",0,2,1,0,2,1,2,3,0,3
"Congratulation To    For Winning Best ScreenPlay Writer Award For  Streamed On  At The Indian Telly Streaming Awards 

      ",0,2,1,0,2,1,2,2,0,3
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On  At The Indian Telly Streaming Awards 

      ",0,2,1,0,2,1,2,4,0,3
